date,ticker,side,call_prem_pct,size,return_pct,pnl_pu_pct,pnl_contribution_pct,in_recovery
2021-01-01,MCD,skip,0.0,0,-3.141,0.0,0.0,False
2021-01-01,MDLZ,buy_call,2.4962,1,-4.6684,-2.4962,-0.024962,False
2021-01-01,MDT,buy_call,3.6151,1,-4.4852,-3.6151,-0.036151,False
2021-01-01,META,skip,0.0,0,-5.4291,0.0,0.0,False
2021-01-01,MMM,buy_call,4.0074,1,0.4977,-3.5097,-0.035097,False
2021-01-01,MRK,buy_call,2.715,1,-5.0383,-2.715,-0.02715,False
2021-01-01,MS,buy_call,3.1226,1,-2.1596,-3.1226,-0.031226,False
2021-01-01,MSFT,buy_call,3.9524,1,4.2892,0.3367,0.003367,False
2021-01-01,MU,buy_call,4.7857,1,4.1102,-0.6755,-0.006755,False
2021-01-01,NEE,buy_call,3.1439,1,4.8218,1.6778,0.016778,False
2021-01-01,NFLX,buy_call,3.9861,1,-1.5424,-3.9861,-0.039861,False
2021-01-01,NKE,buy_call,3.2585,1,-5.3801,-3.2585,-0.032585,False
2021-01-01,NOW,buy_call,5.5016,1,-1.3208,-5.5016,-0.055016,False
2021-01-01,NVDA,skip,0.0,0,-0.4704,0.0,0.0,False
2021-01-01,ORCL,buy_call,3.1744,1,-6.5853,-3.1744,-0.031744,False
2021-01-01,PEP,buy_call,2.4962,1,-7.2536,-2.4962,-0.024962,False
2021-01-01,PFE,skip,0.0,0,-2.4722,0.0,0.0,False
2021-01-01,PG,buy_call,2.2541,1,-7.8554,-2.2541,-0.022541,False
2021-01-01,PLD,skip,0.0,0,4.1571,0.0,0.0,False
2021-01-01,PYPL,buy_call,3.9796,1,0.047,-3.9326,-0.039326,False
2021-01-01,QCOM,buy_call,5.6825,1,3.0291,-2.6534,-0.026534,False
2021-01-01,SBUX,buy_call,3.1439,1,-9.5065,-3.1439,-0.031439,False
2021-01-01,SCHW,buy_call,3.1226,1,-2.828,-3.1226,-0.031226,False
2021-01-01,SO,buy_call,3.1439,1,-4.086,-3.1439,-0.031439,False
2021-01-01,SPGI,skip,0.0,0,-3.5683,0.0,0.0,False
2021-01-01,SYK,buy_call,3.6151,1,-9.57,-3.6151,-0.036151,False
2021-01-01,T,buy_call,3.639,1,-0.452,-3.639,-0.03639,False
2021-01-01,TGT,skip,0.0,0,2.6284,0.0,0.0,False
2021-01-01,TJX,buy_call,3.3094,1,-6.2235,-3.3094,-0.033094,False
2021-01-01,TMO,buy_call,3.4763,1,9.4804,6.0042,0.060042,False
2021-01-01,TMUS,buy_call,3.639,1,-6.5035,-3.639,-0.03639,False
2021-01-01,TSLA,buy_call,9.3495,1,12.4506,3.1011,0.031011,False
2021-01-01,TXN,buy_call,3.1741,1,0.9504,-2.2236,-0.022236,False
2021-01-01,UNH,buy_call,3.3225,1,-4.534,-3.3225,-0.033225,False
2021-01-01,UNP,buy_call,5.7339,1,-5.1628,-5.7339,-0.057339,False
2021-01-01,UPS,skip,0.0,0,-7.9573,0.0,0.0,False
